# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 3D1  np 3F2 
145.00   45.0134   71.7399   -1.9916  -11.3603  -18.5777   51.8532    3.8591   -3.9508  -20.3358  1.0521 
146.00   44.9261   71.5008   -1.9666  -11.3634  -18.6497   51.8148    3.8717   -3.9636  -20.4714  1.0573 
147.00   44.8385   71.2628   -1.9416  -11.3663  -18.7213   51.7747    3.8840   -3.9762  -20.6068  1.0626 
148.00   44.7506   71.0258   -1.9165  -11.3688  -18.7925   51.7330    3.8962   -3.9887  -20.7420  1.0677 
149.00   44.6625   70.7898   -1.8914  -11.3711  -18.8633   51.6897    3.9081   -4.0010  -20.8770  1.0729 
150.00   44.5741   70.5549   -1.8662  -11.3730  -18.9338   51.6448    3.9199   -4.0131  -21.0118  1.0779 
151.00   44.4854   70.3209   -1.8410  -11.3747  -19.0039   51.5985    3.9315   -4.0250  -21.1463  1.0830 
152.00   44.3965   70.0878   -1.8156  -11.3760  -19.0737   51.5506    3.9429   -4.0367  -21.2806  1.0879 
153.00   44.3072   69.8557   -1.7903  -11.3771  -19.1431   51.5013    3.9541   -4.0483  -21.4148  1.0928 
154.00   44.2178   69.6246   -1.7649  -11.3779  -19.2121   51.4505    3.9651   -4.0597  -21.5486  1.0977 
155.00   44.1280   69.3944   -1.7394  -11.3784  -19.2807   51.3983    3.9759   -4.0709  -21.6823  1.1025 
156.00   44.0380   69.1650   -1.7140  -11.3786  -19.3490   51.3447    3.9865   -4.0820  -21.8157  1.1073 
157.00   43.9477   68.9366   -1.6884  -11.3785  -19.4169   51.2897    3.9969   -4.0929  -21.9490  1.1120 
158.00   43.8572   68.7090   -1.6628  -11.3781  -19.4844   51.2334    4.0072   -4.1036  -22.0820  1.1166 
159.00   43.7664   68.4823   -1.6372  -11.3775  -19.5516   51.1758    4.0173   -4.1141  -22.2147  1.1212 
160.00   43.6753   68.2564   -1.6116  -11.3765  -19.6184   51.1168    4.0271   -4.1245  -22.3473  1.1258 
161.00   43.5840   68.0314   -1.5859  -11.3753  -19.6848   51.0566    4.0368   -4.1347  -22.4796  1.1303 
162.00   43.4924   67.8072   -1.5601  -11.3739  -19.7508   50.9951    4.0464   -4.1447  -22.6117  1.1347 
163.00   43.4006   67.5838   -1.5344  -11.3721  -19.8165   50.9324    4.0557   -4.1546  -22.7436  1.1391 
164.00   43.3085   67.3612   -1.5086  -11.3701  -19.8818   50.8685    4.0648   -4.1643  -22.8753  1.1435 
165.00   43.2162   67.1394   -1.4827  -11.3678  -19.9468   50.8033    4.0738   -4.1738  -23.0067  1.1478 
166.00   43.1236   66.9183   -1.4569  -11.3652  -20.0113   50.7370    4.0826   -4.1832  -23.1379  1.1520 
167.00   43.0307   66.6981   -1.4310  -11.3624  -20.0755   50.6696    4.0912   -4.1924  -23.2689  1.1562 
168.00   42.9377   66.4785   -1.4051  -11.3593  -20.1394   50.6009    4.0996   -4.2014  -23.3996  1.1603 
169.00   42.8443   66.2597   -1.3791  -11.3559  -20.2028   50.5312    4.1079   -4.2102  -23.5301  1.1644 
170.00   42.7507   66.0416   -1.3531  -11.3522  -20.2659   50.4604    4.1159   -4.2189  -23.6604  1.1684 
171.00   42.6569   65.8243   -1.3271  -11.3483  -20.3286   50.3885    4.1238   -4.2275  -23.7905  1.1724 
172.00   42.5628   65.6076   -1.3011  -11.3442  -20.3910   50.3155    4.1315   -4.2358  -23.9203  1.1763 
173.00   42.4685   65.3916   -1.2751  -11.3397  -20.4529   50.2414    4.1391   -4.2440  -24.0499  1.1802 
174.00   42.3740   65.1763   -1.2490  -11.3350  -20.5145   50.1664    4.1464   -4.2520  -24.1792  1.1841 
175.00   42.2792   64.9617   -1.2230  -11.3301  -20.5757   50.0903    4.1536   -4.2599  -24.3083  1.1878 
176.00   42.1841   64.7478   -1.1969  -11.3249  -20.6365   50.0132    4.1606   -4.2676  -24.4372  1.1916 
177.00   42.0889   64.5345   -1.1708  -11.3194  -20.6970   49.9351    4.1675   -4.2752  -24.5658  1.1952 
178.00   41.9934   64.3218   -1.1446  -11.3137  -20.7570   49.8560    4.1741   -4.2825  -24.6942  1.1988 
179.00   41.8976   64.1098   -1.1185  -11.3077  -20.8167   49.7760    4.1806   -4.2898  -24.8224  1.2024 
180.00   41.8017   63.8984   -1.0923  -11.3015  -20.8760   49.6951    4.1869   -4.2968  -24.9503  1.2059 
181.00   41.7054   63.6876   -1.0662  -11.2950  -20.9349   49.6132    4.1931   -4.3037  -25.0780  1.2094 
182.00   41.6090   63.4774   -1.0400  -11.2883  -20.9934   49.5304    4.1991   -4.3104  -25.2054  1.2128 
183.00   41.5123   63.2678   -1.0138  -11.2813  -21.0516   49.4467    4.2049   -4.3170  -25.3326  1.2162 
184.00   41.4154   63.0588   -0.9876  -11.2741  -21.1093   49.3622    4.2105   -4.3234  -25.4595  1.2195 
185.00   41.3183   62.8504   -0.9614  -11.2666  -21.1667   49.2767    4.2160   -4.3297  -25.5862  1.2228 
186.00   41.2210   62.6425   -0.9352  -11.2589  -21.2237   49.1904    4.2213   -4.3357  -25.7126  1.2260 
187.00   41.1234   62.4352   -0.9090  -11.2509  -21.2803   49.1033    4.2265   -4.3417  -25.8388  1.2292 
188.00   41.0256   62.2285   -0.8828  -11.2426  -21.3364   49.0153    4.2315   -4.3474  -25.9647  1.2323 
189.00   40.9276   62.0223   -0.8566  -11.2342  -21.3922   48.9265    4.2363   -4.3531  -26.0904  1.2354 
