# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 3D1  np 3F2 
  167      42.7383      66.5598     -1.43181      -11.434     -20.1992      50.9711      4.12583     -4.22156     -23.4438       1.1623
  168       42.646      66.3401     -1.40564     -11.4309     -20.2635      50.9006      4.13425      -4.2306     -23.5756      1.16644
  169      42.5534      66.1211     -1.37944     -11.4274     -20.3274       50.829      4.14249     -4.23948     -23.7072      1.17052
  170      42.4606      65.9029     -1.35322     -11.4237     -20.3909      50.7563      4.15055     -4.24819     -23.8385      1.17455
  171      42.3676      65.6854     -1.32698     -11.4198      -20.454      50.6825      4.15843     -4.25673     -23.9696      1.17853
  172      42.2743      65.4686     -1.30072     -11.4156     -20.5167      50.6077      4.16614      -4.2651     -24.1005      1.18246
  173      42.1808      65.2524     -1.27443     -11.4111     -20.5791      50.5318      4.17366     -4.27331     -24.2311      1.18633
  174       42.087       65.037     -1.24812     -11.4063     -20.6411       50.455      4.18101     -4.28135     -24.3615      1.19016
  175       41.993      64.8223      -1.2218     -11.4013     -20.7027      50.3771      4.18819     -4.28923     -24.4917      1.19393
  176      41.8987      64.6082     -1.19546      -11.396      -20.764      50.2982      4.19518     -4.29694     -24.6216      1.19765
  177      41.8042      64.3948      -1.1691     -11.3905     -20.8248      50.2183        4.202     -4.30449     -24.7513      1.20132
  178      41.7095       64.182     -1.14272     -11.3847     -20.8853      50.1375      4.20865     -4.31187     -24.8808      1.20494
  179      41.6145      63.9698     -1.11634     -11.3787     -20.9454      50.0557      4.21513     -4.31909       -25.01       1.2085
  180      41.5193      63.7583     -1.08994     -11.3724      -21.005       49.973      4.22143     -4.32615     -25.1389      1.21202
  181      41.4238      63.5474     -1.06353     -11.3658     -21.0644      49.8894      4.22755     -4.33304     -25.2677      1.21548
  182      41.3282      63.3371      -1.0371      -11.359     -21.1233      49.8048      4.23351     -4.33977     -25.3962       1.2189
  183      41.2322      63.1274     -1.01067      -11.352     -21.1818      49.7194       4.2393     -4.34634     -25.5244      1.22226
  184      41.1361      62.9183    -0.984232     -11.3446       -21.24      49.6331      4.24491     -4.35275     -25.6524      1.22557
  185      41.0397      62.7098    -0.957784     -11.3371     -21.2977       49.546      4.25036     -4.35899     -25.7801      1.22883
  186      40.9431      62.5018     -0.93133     -11.3293     -21.3551      49.4579      4.25564     -4.36507     -25.9076      1.23204
  187      40.8463      62.2944    -0.904871     -11.3212      -21.412      49.3691      4.26075       -4.371     -26.0348       1.2352
  188      40.7492      62.0876    -0.878407     -11.3129     -21.4686      49.2794      4.26569     -4.37676     -26.1618      1.23831
  189      40.6519      61.8813     -0.85194     -11.3043     -21.5248      49.1889      4.27046     -4.38236     -26.2886      1.24137
  190      40.5544      61.6756     -0.82547     -11.2955     -21.5805      49.0977      4.27507      -4.3878      -26.415      1.24437
  191      40.4567      61.4704    -0.798999     -11.2864     -21.6359      49.0056      4.27952     -4.39309     -26.5412      1.24733
  192      40.3587      61.2657    -0.772528     -11.2771     -21.6909      48.9127      4.28379     -4.39821     -26.6672      1.25024
  193      40.2605      61.0615    -0.746057     -11.2676     -21.7454      48.8191      4.28791     -4.40318     -26.7929       1.2531
  194      40.1622      60.8579    -0.719587     -11.2578     -21.7996      48.7248      4.29186     -4.40798     -26.9183       1.2559
  195      40.0636      60.6547    -0.693119     -11.2478     -21.8533      48.6297      4.29565     -4.41263     -27.0434      1.25866
  196      39.9647      60.4521    -0.666654     -11.2375     -21.9067      48.5338      4.29927     -4.41713     -27.1683      1.26137
  197      39.8657      60.2499    -0.640193      -11.227     -21.9596      48.4373      4.30274     -4.42146     -27.2929      1.26402
  198      39.7665      60.0483    -0.613737     -11.2162     -22.0121        48.34      4.30604     -4.42564     -27.4173      1.26663
  199       39.667      59.8471    -0.587287     -11.2052     -22.0642       48.242      4.30919     -4.42966     -27.5413      1.26919
  200      39.5673      59.6463    -0.560843      -11.194     -22.1159      48.1434      4.31217     -4.43353     -27.6651       1.2717
  201      39.4675      59.4461    -0.534406     -11.1825     -22.1671      48.0441        4.315     -4.43724     -27.7886      1.27415
  202      39.3674      59.2463    -0.507978     -11.1708      -22.218      47.9441      4.31767      -4.4408     -27.9118      1.27656
  203      39.2671       59.047    -0.481558     -11.1588     -22.2684      47.8434      4.32018      -4.4442     -28.0348      1.27892
  204      39.1666      58.8481    -0.455148     -11.1467     -22.3184      47.7421      4.32253     -4.44745     -28.1574      1.28123
  205       39.066      58.6496    -0.428749     -11.1342     -22.3679      47.6401      4.32473     -4.45054     -28.2798       1.2835
  206      38.9651      58.4516    -0.402361     -11.1216      -22.417      47.5375      4.32677     -4.45348     -28.4018      1.28571
  207       38.864       58.254    -0.375984     -11.1087     -22.4657      47.4343      4.32865     -4.45627     -28.5236      1.28787
  208      38.7627      58.0568    -0.349621     -11.0956      -22.514      47.3305      4.33039     -4.45891     -28.6451      1.28999
  209      38.6612      57.8601    -0.323271     -11.0822     -22.5618      47.2261      4.33197     -4.46139     -28.7662      1.29205
  210      38.5596      57.6637    -0.296935     -11.0686     -22.6091      47.1211      4.33339     -4.46372     -28.8871      1.29407
  211      38.4577      57.4678    -0.270614     -11.0548     -22.6561      47.0155      4.33467      -4.4659     -29.0077      1.29604
  212      38.3556      57.2723    -0.244309     -11.0407     -22.7025      46.9093      4.33579     -4.46792     -29.1279      1.29796
  213      38.2534      57.0772     -0.21802     -11.0264     -22.7486      46.8025      4.33676      -4.4698     -29.2479      1.29983
  214       38.151      56.8824    -0.191749     -11.0119     -22.7942      46.6952      4.33758     -4.47153     -29.3675      1.30166
  215      38.0483      56.6881    -0.165495     -10.9972     -22.8393      46.5874      4.33825      -4.4731     -29.4868      1.30343
  216      37.9455      56.4941    -0.139259     -10.9822      -22.884       46.479      4.33878     -4.47453     -29.6058      1.30516
  217      37.8425      56.3005    -0.113043      -10.967     -22.9282        46.37      4.33915     -4.47581     -29.7245      1.30684
  218      37.7394      56.1073   -0.0868458     -10.9516     -22.9719      46.2605      4.33938     -4.47694     -29.8428      1.30848
  219       37.636      55.9145   -0.0606695     -10.9359     -23.0152      46.1505      4.33946     -4.47792     -29.9608      1.31006
  220      37.5325       55.722   -0.0345142       -10.92      -23.058        46.04      4.33939     -4.47875     -30.0785       1.3116
  221      37.4288      55.5299   -0.00838053     -10.9039     -23.1004       45.929      4.33918     -4.47944     -30.1958      1.31309
  222      37.3249      55.3381    0.0177308     -10.8876     -23.1423      45.8174      4.33883     -4.47998     -30.3129      1.31453
  223      37.2208      55.1467    0.0438191      -10.871     -23.1837      45.7054      4.33833     -4.48037     -30.4295      1.31593
  224      37.1166      54.9556    0.0698839     -10.8542     -23.2246      45.5929      4.33768     -4.48061     -30.5458      1.31728
  225      37.0122      54.7649    0.0959245     -10.8372     -23.2651      45.4799       4.3369     -4.48071     -30.6618      1.31858
  226      36.9076      54.5745      0.12194       -10.82      -23.305      45.3665      4.33597     -4.48067     -30.7774      1.31983
  227      36.8029      54.3845     0.147931     -10.8026     -23.3445      45.2525       4.3349     -4.48048     -30.8927      1.32104
  228       36.698      54.1948     0.173895     -10.7849     -23.3835      45.1382      4.33369     -4.48014     -31.0076       1.3222
  229      36.5929      54.0054     0.199833      -10.767      -23.422      45.0233      4.33233     -4.47966     -31.1221      1.32332
  230      36.4876      53.8163     0.225744     -10.7489       -23.46       44.908      4.33084     -4.47904     -31.2363      1.32439
  231      36.3822      53.6276     0.251627     -10.7306     -23.4975      44.7923      4.32921     -4.47828     -31.3501      1.32541
  232      36.2767      53.4392     0.277482     -10.7121     -23.5345      44.6762      4.32745     -4.47737     -31.4635      1.32639
  233       36.171      53.2511     0.303308     -10.6933      -23.571      44.5596      4.32554     -4.47632     -31.5765      1.32732
  234      36.0651      53.0633     0.329105     -10.6743      -23.607      44.4426       4.3235     -4.47513     -31.6892       1.3282
  235      35.9591      52.8758     0.354871     -10.6551     -23.6425      44.3252      4.32132     -4.47379     -31.8015      1.32904
  236      35.8529      52.6886     0.380607     -10.6357     -23.6775      44.2073        4.319     -4.47232     -31.9133      1.32983
  237      35.7465      52.5017     0.406312     -10.6161     -23.7119      44.0891      4.31656     -4.47071     -32.0248      1.33058
  238      35.6401      52.3152     0.431986     -10.5963     -23.7459      43.9705      4.31397     -4.46895     -32.1359      1.33129
